logical_role,path,exists_now,tracked_status,producer_command,consumer,mutation_affects_live_weekly_workflow,classification,basis
current player projections,data/predictions/current_player_projections.csv,true,generated_ignored,python -m fantasy_prediction.player_baseline,lineup_optimizer; weekly champion export,true,REQUIRED_MUST_EXIST,fantasy_prediction.player_baseline.main writes it at lines 662-663
current coach projections,data/predictions/current_coach_projections.csv,true,generated_ignored,python -m fantasy_prediction.player_baseline,lineup_optimizer,true,REQUIRED_MUST_EXIST,fantasy_prediction.player_baseline.main writes it at lines 662-663
current champion portfolio,data/predictions/current_champion_portfolio.csv,true,generated_ignored,python scripts/refresh_champion_pool.py,lineup_optimizer; weekly champion export,true,REQUIRED_MUST_EXIST,weekly runbook documents refresh_champion_pool output
current champion rankings,data/predictions/current_champion_rankings.csv,true,generated_ignored,python scripts/refresh_champion_pool.py,weekly review,true,REQUIRED_MUST_EXIST,weekly runbook documents champion predictor output
optimized lineup output,data/predictions/current_lineup_recommendations.json,true,generated_ignored,python -m fantasy_prediction.lineup_optimizer,weekly roster workflow,true,REQUIRED_MUST_EXIST,fantasy_prediction.lineup_optimizer.DEFAULT_OUTPUT
dashboard player projection data,dashboard/generated/current/dashboard_data.json,true,tracked,python data_pipeline/export_dashboard_data.py,dashboard browser,true,REQUIRED_MUST_EXIST,data_pipeline.export_dashboard_data.export_dashboard_json default output
dashboard lineup recommendations,dashboard/generated/current/matchup_lineups.json,true,tracked,python -m fantasy_prediction.lineup_optimizer,dashboard browser,true,REQUIRED_MUST_EXIST,fantasy_prediction.lineup_optimizer.DEFAULT_DASHBOARD_OUTPUT
dashboard champion data,dashboard/generated/current/weekly_champion_predictions.json,true,tracked,python -m data_pipeline.export_weekly_champion_predictions,dashboard browser,true,REQUIRED_MUST_EXIST,data_pipeline.export_weekly_champion_predictions.DEFAULT_OUTPUT
production scoring and lineup rules,config/scoring_rules.json,true,tracked,maintained production configuration,lineup_optimizer,true,REQUIRED_MUST_EXIST,fantasy_prediction.lineup_optimizer.DEFAULT_RULES_PATH
sealed S30 state used by CE,data/predictions/player_model_v2/model_state/s30_v2_refit_20260817_5fb7d2510674dee36aee67155376501e8cb22d130c56f1230fc7c6fd808b2910.json,true,tracked,scripts/fit_s30_v2.py / sealed refit workflow,fantasy_prediction.ce_model.predict_ce,true,REQUIRED_MUST_EXIST,fantasy_prediction.ce_model.S30_V2_REFIT_20260817_STATE_PATH
model-status metadata,data/predictions/player_model_v2/model-status.json,true,tracked,stage evidence producer,human review only,false,RESEARCH_ONLY,No active runtime loader references model-status.json.
broad dashboard directory,dashboard/generated/current,true,tracked,multiple exporters,dashboard browser,true,NOT_PRODUCTION,Superseded by three specific live files; whole-directory digest includes unrelated volatile reports.
dashboard coach projection file,dashboard/generated/current/current_coach_projections.json,false,absent,no producer,no consumer,false,NOT_PRODUCTION,No discrete current coach dashboard artifact exists; coach data is not exported separately.
