candidate_id,year,role,n,MAE,RMSE,bias,Spearman,role_MAE_degradation_pct
RECENCY_3,2024,TOP,135,4.2589,5.4099,0.8768,0.0963,
RECENCY_3,2024,JGL,135,4.6557,5.6621,-0.8183,0.1567,
RECENCY_3,2024,MID,135,5.4826,6.6492,-1.0979,0.1695,
RECENCY_3,2024,BOT,135,5.8307,6.9269,-0.9731,0.078,
RECENCY_3,2024,SUP,135,5.2789,6.5063,-2.0761,0.1254,
RECENCY_3,2025,TOP,170,4.7578,5.9671,-0.6693,0.1851,
RECENCY_3,2025,JGL,167,5.0709,6.3093,-1.1962,0.1947,
RECENCY_3,2025,MID,168,6.0111,7.7731,-0.9121,0.0727,
RECENCY_3,2025,BOT,167,5.9849,7.4099,-1.7313,0.2534,
RECENCY_3,2025,SUP,166,6.2253,7.4839,-2.9461,0.3192,
RECENCY_3,pooled,TOP,305,4.537,5.7271,0.0151,0.1332,-0.56
RECENCY_3,pooled,JGL,302,4.8853,6.0286,-1.0273,0.1792,0.55
RECENCY_3,pooled,MID,303,5.7756,7.2938,-0.9949,0.116,0.21
RECENCY_3,pooled,BOT,302,5.916,7.198,-1.3923,0.176,1.15
RECENCY_3,pooled,SUP,301,5.8008,7.0622,-2.5559,0.2459,1.33
RECENCY_5_BASELINE,2024,TOP,135,4.2761,5.4144,0.8641,0.0876,
RECENCY_5_BASELINE,2024,JGL,135,4.6247,5.589,-0.776,0.2152,
RECENCY_5_BASELINE,2024,MID,135,5.4193,6.5869,-1.0069,0.2243,
RECENCY_5_BASELINE,2024,BOT,135,5.8288,6.9391,-0.8139,0.0341,
RECENCY_5_BASELINE,2024,SUP,135,5.2382,6.4546,-1.9372,0.114,
RECENCY_5_BASELINE,2025,TOP,170,4.7899,5.9585,-0.5521,0.209,
RECENCY_5_BASELINE,2025,JGL,167,5.0473,6.2605,-1.1493,0.215,
RECENCY_5_BASELINE,2025,MID,168,6.0402,7.7939,-0.7785,0.0865,
RECENCY_5_BASELINE,2025,BOT,167,5.8653,7.286,-1.5477,0.3175,
RECENCY_5_BASELINE,2025,SUP,166,6.1206,7.3657,-2.7637,0.3242,
RECENCY_5_BASELINE,pooled,TOP,305,4.5625,5.724,0.0748,0.1637,0.0
RECENCY_5_BASELINE,pooled,JGL,302,4.8584,5.9697,-0.9824,0.2169,0.0
RECENCY_5_BASELINE,pooled,MID,303,5.7636,7.2809,-0.8802,0.1405,0.0
RECENCY_5_BASELINE,pooled,BOT,302,5.8489,7.133,-1.2197,0.1926,0.0
RECENCY_5_BASELINE,pooled,SUP,301,5.7248,6.9718,-2.393,0.2495,0.0
RECENCY_7,2024,TOP,135,4.2964,5.426,0.8081,0.0793,
RECENCY_7,2024,JGL,135,4.5977,5.547,-0.6842,0.244,
