player_id,team_id,role,prediction_period_id,game_count_participated,series_count_participated,participated,participation_source,participation_provenance
oe:player:05fafeaf23dc3285558a4e968970b9f,oe:team:8eb884e168f28402ce685bedebb5250,SUP,period:01bed218199c5fc6a295,2,2,true,src_oracles_elixir,"{""context_selection"":""GAME_COUNT_MODE_THEN_LEXICAL_TIEBREAK"",""method"":""RETROSPECTIVE_POSITIVE_PLAYER_GAME_ROWS_ONLY"",""observed_roles"":[""SUP""],""observed_team_ids"":[""oe:team:8eb884e168f28402ce685bedebb5250""]}"
oe:player:10fcffece0ac7be85f09c4b51a75762,oe:team:fc8e90107dabb9a35c490b0d86adea0,BOT,period:01bed218199c5fc6a295,2,2,true,src_oracles_elixir,"{""context_selection"":""GAME_COUNT_MODE_THEN_LEXICAL_TIEBREAK"",""method"":""RETROSPECTIVE_POSITIVE_PLAYER_GAME_ROWS_ONLY"",""observed_roles"":[""BOT""],""observed_team_ids"":[""oe:team:fc8e90107dabb9a35c490b0d86adea0""]}"
oe:player:20aba59cf47a04a6cf10436ce1946ac,oe:team:87ee02298073abc2d55060f097d4041,TOP,period:01bed218199c5fc6a295,2,2,true,src_oracles_elixir,"{""context_selection"":""GAME_COUNT_MODE_THEN_LEXICAL_TIEBREAK"",""method"":""RETROSPECTIVE_POSITIVE_PLAYER_GAME_ROWS_ONLY"",""observed_roles"":[""TOP""],""observed_team_ids"":[""oe:team:87ee02298073abc2d55060f097d4041""]}"
oe:player:21f59b54f62b5b8b4bc0f63f0f617fc,oe:team:8eb884e168f28402ce685bedebb5250,TOP,period:01bed218199c5fc6a295,2,2,true,src_oracles_elixir,"{""context_selection"":""GAME_COUNT_MODE_THEN_LEXICAL_TIEBREAK"",""method"":""RETROSPECTIVE_POSITIVE_PLAYER_GAME_ROWS_ONLY"",""observed_roles"":[""TOP""],""observed_team_ids"":[""oe:team:8eb884e168f28402ce685bedebb5250""]}"
oe:player:30bccf285c11c18d7698c98ca52d87d,oe:team:cbfaf0ca2181f0903d2fcceb6c28f3b,JGL,period:01bed218199c5fc6a295,2,2,true,src_oracles_elixir,"{""context_selection"":""GAME_COUNT_MODE_THEN_LEXICAL_TIEBREAK"",""method"":""RETROSPECTIVE_POSITIVE_PLAYER_GAME_ROWS_ONLY"",""observed_roles"":[""JGL""],""observed_team_ids"":[""oe:team:cbfaf0ca2181f0903d2fcceb6c28f3b""]}"
oe:player:4046e5819c6e57ec8fa00b56834d8aa,oe:team:c334c629fea759876e9e04afbe4aee7,BOT,period:01bed218199c5fc6a295,2,2,true,src_oracles_elixir,"{""context_selection"":""GAME_COUNT_MODE_THEN_LEXICAL_TIEBREAK"",""method"":""RETROSPECTIVE_POSITIVE_PLAYER_GAME_ROWS_ONLY"",""observed_roles"":[""BOT""],""observed_team_ids"":[""oe:team:c334c629fea759876e9e04afbe4aee7""]}"
oe:player:419bc348a61e7433593ea741189d833,oe:team:c334c629fea759876e9e04afbe4aee7,JGL,period:01bed218199c5fc6a295,2,2,true,src_oracles_elixir,"{""context_selection"":""GAME_COUNT_MODE_THEN_LEXICAL_TIEBREAK"",""method"":""RETROSPECTIVE_POSITIVE_PLAYER_GAME_ROWS_ONLY"",""observed_roles"":[""JGL""],""observed_team_ids"":[""oe:team:c334c629fea759876e9e04afbe4aee7""]}"
oe:player:4d2f4b9fa48af3a3618b2cbac02fa9b,oe:team:cbfaf0ca2181f0903d2fcceb6c28f3b,SUP,period:01bed218199c5fc6a295,2,2,true,src_oracles_elixir,"{""context_selection"":""GAME_COUNT_MODE_THEN_LEXICAL_TIEBREAK"",""method"":""RETROSPECTIVE_POSITIVE_PLAYER_GAME_ROWS_ONLY"",""observed_roles"":[""SUP""],""observed_team_ids"":[""oe:team:cbfaf0ca2181f0903d2fcceb6c28f3b""]}"
oe:player:4d38e91e966ad67aead69648253640e,oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,SUP,period:01bed218199c5fc6a295,2,2,true,src_oracles_elixir,"{""context_selection"":""GAME_COUNT_MODE_THEN_LEXICAL_TIEBREAK"",""method"":""RETROSPECTIVE_POSITIVE_PLAYER_GAME_ROWS_ONLY"",""observed_roles"":[""SUP""],""observed_team_ids"":[""oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6""]}"
oe:player:51d421a31ce72460198ef946995fb11,oe:team:cbfaf0ca2181f0903d2fcceb6c28f3b,BOT,period:01bed218199c5fc6a295,2,2,true,src_oracles_elixir,"{""context_selection"":""GAME_COUNT_MODE_THEN_LEXICAL_TIEBREAK"",""method"":""RETROSPECTIVE_POSITIVE_PLAYER_GAME_ROWS_ONLY"",""observed_roles"":[""BOT""],""observed_team_ids"":[""oe:team:cbfaf0ca2181f0903d2fcceb6c28f3b""]}"
oe:player:526e67744f0b90739ec17c191c62d24,oe:team:f7f7324c151aa6ed770b244ce08e027,BOT,period:01bed218199c5fc6a295,2,2,true,src_oracles_elixir,"{""context_selection"":""GAME_COUNT_MODE_THEN_LEXICAL_TIEBREAK"",""method"":""RETROSPECTIVE_POSITIVE_PLAYER_GAME_ROWS_ONLY"",""observed_roles"":[""BOT""],""observed_team_ids"":[""oe:team:f7f7324c151aa6ed770b244ce08e027""]}"
oe:player:574ca24646bea0e378813db54092903,oe:team:cbfaf0ca2181f0903d2fcceb6c28f3b,TOP,period:01bed218199c5fc6a295,2,2,true,src_oracles_elixir,"{""context_selection"":""GAME_COUNT_MODE_THEN_LEXICAL_TIEBREAK"",""method"":""RETROSPECTIVE_POSITIVE_PLAYER_GAME_ROWS_ONLY"",""observed_roles"":[""TOP""],""observed_team_ids"":[""oe:team:cbfaf0ca2181f0903d2fcceb6c28f3b""]}"
oe:player:5b4a9ba6121c6d0e37076f8f3523000,oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,MID,period:01bed218199c5fc6a295,2,2,true,src_oracles_elixir,"{""context_selection"":""GAME_COUNT_MODE_THEN_LEXICAL_TIEBREAK"",""method"":""RETROSPECTIVE_POSITIVE_PLAYER_GAME_ROWS_ONLY"",""observed_roles"":[""MID""],""observed_team_ids"":[""oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6""]}"
